Year,Pitch Type,Velocity,Pitch Outcome,Zone,Spin Rate,Plate Appearance Outcome
2018,4-Seam Fastball,97.7,hit_into_play,8.0,2028.0,field_out
2018,4-Seam Fastball,97.9,hit_into_play,9.0,2087.0,field_out
2018,Sweeper,84.2,ball,14.0,2385.0,
2018,Curveball,77.1,ball,11.0,2429.0,
2018,4-Seam Fastball,98.7,hit_into_play,1.0,2008.0,field_out
2018,4-Seam Fastball,98.1,called_strike,9.0,2025.0,
2018,4-Seam Fastball,97.5,called_strike,9.0,2203.0,
2018,4-Seam Fastball,98.7,ball,14.0,2172.0,
2018,Sweeper,81.5,ball,12.0,2300.0,
2018,Split-Finger,90.3,swinging_strike_blocked,13.0,1407.0,strikeout
2018,4-Seam Fastball,97.8,called_strike,11.0,2080.0,
2018,4-Seam Fastball,96.3,foul,4.0,1922.0,
2018,4-Seam Fastball,98.3,swinging_strike,9.0,2251.0,strikeout
2018,Split-Finger,89.3,ball,14.0,1379.0,
2018,4-Seam Fastball,99.0,called_strike,9.0,2064.0,
2018,Sweeper,83.2,ball,14.0,2390.0,
2018,Sweeper,83.1,ball,14.0,2428.0,
2018,4-Seam Fastball,97.9,called_strike,8.0,2136.0,
2018,Split-Finger,86.5,swinging_strike,8.0,1249.0,strikeout
2018,Split-Finger,89.3,ball,14.0,1422.0,
2018,4-Seam Fastball,98.0,called_strike,7.0,2019.0,
2018,Split-Finger,85.5,swinging_strike,14.0,1448.0,
2018,Split-Finger,86.8,ball,14.0,1348.0,
2018,4-Seam Fastball,96.5,hit_into_play,4.0,2196.0,field_out
2018,4-Seam Fastball,95.3,foul,5.0,2016.0,
2018,Sweeper,79.4,ball,12.0,2164.0,
2018,Sweeper,80.1,ball,14.0,2133.0,
2018,4-Seam Fastball,96.4,hit_into_play,13.0,2012.0,field_out
2018,4-Seam Fastball,98.2,ball,14.0,2094.0,
2018,Curveball,72.6,ball,13.0,2339.0,
2018,4-Seam Fastball,96.9,hit_into_play,7.0,2119.0,field_out
2018,4-Seam Fastball,98.4,ball,14.0,2293.0,
2018,Sweeper,82.9,ball,14.0,2398.0,
2018,Split-Finger,86.5,ball,14.0,1370.0,
2018,Sweeper,80.9,called_strike,14.0,2290.0,
2018,Split-Finger,86.0,swinging_strike,9.0,1337.0,strikeout
2018,Split-Finger,84.5,called_strike,9.0,,
2018,Curveball,71.1,ball,11.0,2180.0,
2018,4-Seam Fastball,94.2,called_strike,9.0,2026.0,
2018,4-Seam Fastball,93.3,ball,14.0,1988.0,
2018,4-Seam Fastball,94.2,hit_into_play,7.0,2109.0,home_run
2018,Split-Finger,88.1,swinging_strike_blocked,14.0,1425.0,strikeout
2018,Sweeper,84.8,ball,8.0,2428.0,
2018,Split-Finger,88.3,ball,11.0,1223.0,
2018,Split-Finger,89.1,foul,8.0,1352.0,
2018,Sweeper,82.3,called_strike,6.0,2318.0,
2018,Split-Finger,88.2,swinging_strike,14.0,1353.0,strikeout
2018,4-Seam Fastball,97.7,foul,5.0,2249.0,
2018,4-Seam Fastball,96.8,called_strike,7.0,2132.0,
2018,4-Seam Fastball,94.2,hit_into_play,5.0,2140.0,double
2018,4-Seam Fastball,95.5,ball,14.0,2251.0,
2018,4-Seam Fastball,95.2,ball,11.0,2205.0,
2018,Curveball,73.6,hit_into_play,6.0,2281.0,field_out
2018,4-Seam Fastball,94.4,foul,4.0,2086.0,
2018,4-Seam Fastball,96.3,hit_into_play,7.0,2296.0,field_out
2018,Sweeper,81.7,ball,14.0,2411.0,
2018,Sweeper,81.2,ball,14.0,2446.0,
2018,Split-Finger,87.0,blocked_ball,14.0,1558.0,walk
2018,4-Seam Fastball,96.7,foul,8.0,2145.0,
2018,4-Seam Fastball,93.7,called_strike,9.0,2064.0,
2018,4-Seam Fastball,94.3,ball,13.0,2137.0,
2018,4-Seam Fastball,96.4,ball,13.0,2290.0,
2018,Curveball,74.4,ball,14.0,2319.0,
2018,Sweeper,83.9,swinging_strike,3.0,2366.0,strikeout
2018,4-Seam Fastball,97.5,foul,11.0,2257.0,
2018,4-Seam Fastball,95.3,foul,8.0,2176.0,
2018,Sweeper,81.6,ball,14.0,2382.0,
2018,4-Seam Fastball,97.7,ball,13.0,2190.0,
2018,4-Seam Fastball,98.1,hit_into_play,4.0,2269.0,field_out
2018,Split-Finger,86.5,foul,9.0,1531.0,
2018,4-Seam Fastball,95.7,foul,13.0,2265.0,
2018,4-Seam Fastball,91.1,called_strike,5.0,1941.0,
2018,4-Seam Fastball,93.8,ball,11.0,2011.0,
2018,4-Seam Fastball,93.5,ball,11.0,2004.0,
2018,4-Seam Fastball,97.5,ball,11.0,1986.0,walk
2018,4-Seam Fastball,98.0,foul,9.0,2304.0,
2018,Curveball,74.9,foul,2.0,2295.0,
2018,Split-Finger,87.1,ball,14.0,1301.0,
2018,Split-Finger,87.9,ball,14.0,1335.0,
2018,4-Seam Fastball,98.4,foul,3.0,2075.0,
2018,Split-Finger,86.1,foul,5.0,1210.0,
2018,Curveball,72.6,foul_tip,4.0,2326.0,
2018,Curveball,74.7,ball,11.0,2356.0,
2018,Sweeper,80.9,hit_into_play,6.0,2309.0,field_out
2018,4-Seam Fastball,96.6,ball,11.0,1971.0,
2018,4-Seam Fastball,96.2,swinging_strike,5.0,2185.0,
2018,Split-Finger,89.6,swinging_strike,14.0,1369.0,strikeout
2018,4-Seam Fastball,99.4,foul,7.0,2243.0,
2018,Curveball,76.3,called_strike,1.0,2457.0,
2018,Split-Finger,86.1,ball,11.0,1203.0,
2018,Sweeper,84.2,hit_into_play,5.0,2457.0,field_out
2018,Split-Finger,87.8,foul,7.0,1195.0,
2018,4-Seam Fastball,97.5,swinging_strike,2.0,2179.0,
2018,Curveball,74.0,ball,13.0,2327.0,
2018,4-Seam Fastball,94.6,hit_into_play,3.0,1966.0,field_out
2018,4-Seam Fastball,93.7,called_strike,8.0,2240.0,
2018,4-Seam Fastball,96.7,ball,11.0,2089.0,
2018,4-Seam Fastball,99.2,blocked_ball,14.0,2288.0,
2018,Split-Finger,86.0,ball,14.0,1130.0,
2018,4-Seam Fastball,96.0,ball,14.0,2165.0,walk
2018,Sweeper,77.5,ball,7.0,2392.0,
2018,Sweeper,80.0,ball,14.0,2377.0,
2018,Sweeper,79.5,ball,12.0,2361.0,
2018,4-Seam Fastball,93.7,foul,12.0,2006.0,
2018,Sweeper,82.0,swinging_strike,8.0,2428.0,strikeout
2018,Sweeper,82.1,swinging_strike,14.0,2371.0,
2018,Sweeper,81.7,swinging_strike,14.0,2425.0,
2018,Sweeper,84.2,hit_into_play,14.0,2413.0,force_out
2018,4-Seam Fastball,96.1,called_strike,3.0,2126.0,
2018,Sweeper,80.8,swinging_strike_blocked,14.0,2324.0,
2018,Sweeper,79.2,ball,13.0,2164.0,
2018,4-Seam Fastball,94.5,hit_into_play,2.0,2021.0,field_out
2018,4-Seam Fastball,96.5,ball,14.0,2101.0,
2018,Curveball,71.2,missed_bunt,7.0,2182.0,
2018,Sweeper,80.6,hit_into_play,5.0,2360.0,single
2018,4-Seam Fastball,95.1,foul,7.0,2135.0,
2018,4-Seam Fastball,94.6,called_strike,4.0,2195.0,
2018,4-Seam Fastball,94.8,ball,14.0,1988.0,
2018,4-Seam Fastball,94.7,ball,11.0,2090.0,
2018,Split-Finger,88.7,swinging_strike,14.0,897.0,strikeout
2018,Sweeper,83.4,called_strike,6.0,2344.0,
2018,Sweeper,80.4,called_strike,8.0,2287.0,
2018,4-Seam Fastball,99.0,swinging_strike,11.0,2221.0,strikeout
2018,Curveball,79.6,foul,6.0,2415.0,
2018,4-Seam Fastball,97.3,foul,14.0,2123.0,
2018,4-Seam Fastball,96.9,called_strike,5.0,1925.0,
2018,Curveball,72.7,ball,11.0,2258.0,
2018,Split-Finger,85.9,hit_into_play,4.0,1090.0,field_out
2018,Split-Finger,88.6,ball,14.0,1241.0,
2018,4-Seam Fastball,97.4,foul,2.0,2089.0,
2018,Split-Finger,85.6,foul,3.0,1296.0,
2018,Curveball,71.6,called_strike,5.0,2217.0,
2018,Curveball,77.1,swinging_strike,2.0,2431.0,strikeout
2018,Sweeper,80.2,swinging_strike,5.0,2371.0,
2018,Curveball,75.4,ball,11.0,2402.0,
2018,4-Seam Fastball,97.9,called_strike,13.0,2036.0,
